PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning> Get-Command -Module *PnP*

CommandType     Name                                               Version    Source
Cmdlet          Get-PnPTimeZoneId                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPUnifiedGroup                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPUnifiedGroupMembers                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPUnifiedGroupOwners                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPUser                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPUserProfileProperty                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPView                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWeb                                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWebhookSubscriptions                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWebPart                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWebPartProperty                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWebPartXml                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWebTemplates                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWikiPageContent                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWorkflowDefinition                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWorkflowInstance                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPWorkflowSubscription                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Grant-PnPSiteDesignRights                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Import-PnPAppPackage                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Import-PnPTaxonomy                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Import-PnPTermGroupFromXml                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Import-PnPTermSet                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Install-PnPApp                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Install-PnPSolution                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Invoke-PnPWebAction                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Load-PnPProvisioningTemplate                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Measure-PnPList                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Measure-PnPResponseTime                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Measure-PnPWeb                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPClientSideComponent                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPFile                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPFolder                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPItemProxy                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPListItemToRecycleBin                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Move-PnPRecycleBinItem                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPExtensbilityHandlerObject                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPGroup                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPList                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPPersonalSite                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPProvisioningTemplate                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPProvisioningTemplateFromFolder              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPSite                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPTenantSite                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPTerm                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPTermGroup                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPTermSet                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPUnifiedGroup                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPUser                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          New-PnPWeb                                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Publish-PnPApp                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPApp                                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPClientSideComponent                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPClientSidePage                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPContentType                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPContentTypeFromDocumentSet               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPContentTypeFromList                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPCustomAction                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPEventReceiver                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPField                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPFieldFromContentType                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPFile                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPFileFromProvisioningTemplate             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPFolder                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPGroup                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPIndexedProperty                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPJavaScriptLink                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPList                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPListItem                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPNavigationNode                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPPropertyBagValue                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPPublishingImageRendition                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPSiteClassification                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPSiteCollectionAdmin                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPSiteDesign                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPSiteScript                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPStorageEntity                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPTaxonomyItem                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPTenantSite                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPTermGroup                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPUnifiedGroup                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPUser                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPUserFromGroup                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPView                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWeb                                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWebhookSubscription                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWebPart                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWikiPage                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWorkflowDefinition                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Remove-PnPWorkflowSubscription                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Rename-PnPFile                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Rename-PnPFolder                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Request-PnPReIndexList                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Request-PnPReIndexWeb                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Restore-PnPRecycleBinItem                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Restore-PnPTenantRecycleBinItem                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Resume-PnPWorkflowInstance                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Revoke-PnPSiteDesignRights                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Save-PnPProvisioningTemplate                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Send-PnPMail                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPAppSideLoading                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPAuditing                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPAvailablePageLayouts                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Set-PnPClientSidePage                              2.22.18... SharePointPnPPowerShellOnline
